opportunity_id,client_id,name,description,stage,estimated_value,created_date,close_date,probability,sales_rep
1,1,Cloud Migration for Johnson LLC,Cloud Migration project involving incubate seamless e-business,Initial Contact,15492.24,2025-02-28,,0.18,Thomas Brown
2,2,Mobile App for Taylor Inc Wealth,Mobile App project involving exploit value-added web services,Negotiation,24414.95,2022-01-27,,0.77,Thomas Brown
3,2,Security Audit for Taylor Inc Wealth,Security Audit project involving transition seamless web services,Proposal,19422.89,2021-10-14,,0.58,Emma Davis
4,3,"AI Implementation for Mcclain, Miller and Henderson",AI Implementation project involving transform global portals,Closed Lost,82943.91,2022-10-06,2023-01-12,0.0,David Wilson
5,4,Cloud Infrastructure for Robinson PLC Software,Cloud Infrastructure project involving embrace sticky schemas,Closed Won,103592.33,2023-11-09,2024-04-12,1.0,Emma Davis
6,4,AI Implementation for Robinson PLC Software,AI Implementation project involving orchestrate real-time technologies,Closed Lost,119590.51,2022-12-03,2023-03-04,0.0,Thomas Brown
7,4,AI Implementation for Robinson PLC Software,AI Implementation project involving expedite best-of-breed supply-chains,Negotiation,190561.55,2024-02-19,,0.74,Lisa Johnson
8,4,AI Strategy for Robinson PLC Software,AI Strategy project involving architect back-end mindshare,Closed Won,101582.93,2023-03-25,2023-06-07,1.0,Lisa Johnson
9,6,"Mobile App for Gardner, Robinson and Lawrence",Mobile App project involving synthesize dot-com markets,Closed Won,70553.02,2021-02-26,2021-06-18,1.0,David Wilson
10,6,"AI Implementation for Gardner, Robinson and Lawrence",AI Implementation project involving evolve cutting-edge niches,Closed Won,173991.4,2022-02-22,2022-04-08,1.0,Thomas Brown
11,7,AI Implementation for Wolfe LLC Wellness,AI Implementation project involving integrate clicks-and-mortar supply-chains,Closed Lost,34659.58,2021-11-12,2022-03-20,0.0,Emma Davis
12,7,Web Development for Wolfe LLC Wellness,Web Development project involving revolutionize end-to-end functionalities,Closed Won,13945.6,2021-11-19,2022-05-12,1.0,Carlos Mendez
13,10,"Cloud Infrastructure for Baker, Williams and Stevens",Cloud Infrastructure project involving morph granular systems,Proposal,47144.91,2024-10-14,,0.44,Emma Davis
14,10,"Digital Transformation for Baker, Williams and Stevens",Digital Transformation project involving engage cutting-edge schemas,Closed Won,69695.3,2024-02-12,2024-03-02,1.0,Emma Davis
