allocation_id,project_id,employee_id,start_date,end_date,allocated_percentage,billing_rate
1,1,6,2024-05-02,2024-11-26,25,164.74
2,1,10,2024-05-08,2024-11-26,100,202.97
3,1,21,2024-05-02,2024-08-14,25,186.19
4,1,29,2024-05-02,2024-11-26,75,131.85
5,2,17,2023-07-11,2023-12-07,100,111.56
6,2,22,2023-07-05,2024-02-20,100,118.55
7,2,25,2023-07-05,2024-02-20,50,170.19
8,2,99,2023-07-05,2024-02-20,100,123.39
9,3,20,2021-07-08,2021-09-25,75,80.87
10,3,73,2021-07-08,2021-09-25,100,173.38
11,3,69,2021-07-08,2021-09-25,100,118.65
12,3,15,2021-07-08,2021-08-11,50,172.77
13,4,17,2022-04-17,2023-01-09,25,116.23
14,4,22,2022-04-17,2023-01-09,100,114.99
15,4,25,2022-04-17,2023-01-09,75,166.03
16,4,86,2022-04-17,2023-01-09,100,124.57
17,4,20,2022-04-17,2023-01-09,75,95.2
18,4,19,2022-05-11,2023-01-09,50,126.24
19,4,46,2022-04-17,2023-01-09,100,118.44
20,4,35,2022-04-17,2022-09-14,100,184.79
21,5,7,2022-05-25,2022-08-21,25,119.61
22,5,99,2022-05-25,2022-08-21,25,130.69
23,6,90,2024-03-29,2024-06-04,100,110.36
24,6,74,2024-03-29,2024-06-07,50,100.1
25,6,57,2024-03-29,2024-06-07,50,107.29
26,6,69,2024-03-30,2024-05-13,50,117.82
27,6,78,2024-03-29,2024-06-07,75,121.6
28,6,49,2024-03-29,2024-06-07,50,166.42
29,7,17,2021-04-11,2022-03-13,100,131.7
30,7,22,2021-04-11,2021-10-12,100,117.75
31,7,25,2021-04-11,2022-03-13,50,170.96
32,7,58,2021-04-11,2022-03-13,100,103.33
33,7,51,2021-04-22,2022-03-13,100,139.14
34,7,19,2021-04-11,2021-10-20,100,143.64
35,8,6,2022-08-27,2022-12-16,50,150.16
36,8,10,2022-08-27,2022-12-16,100,207.25
37,8,21,2022-08-31,2022-12-16,25,207.06
38,8,36,2022-08-27,2022-11-17,75,94.41
39,8,35,2022-08-27,2022-12-16,50,181.43
40,8,4,2022-08-27,2022-12-16,25,182.32
41,9,17,2025-03-18,2025-06-29,100,122.44
42,9,22,2025-03-14,2025-05-04,100,117.68
43,9,25,2025-03-14,2025-06-29,75,181.38
