entry_id,employee_id,project_id,entry_date,hours,billable_status
1,6,1,2024-05-02,1.9,Billable
2,6,1,2024-05-03,2.0,Billable
3,6,1,2024-05-06,1.8,Billable
4,6,1,2024-05-07,1.6,Billable
5,6,1,2024-05-08,1.9,Billable
6,6,1,2024-05-09,2.0,Billable
7,6,1,2024-05-10,1.9,Billable
8,6,1,2024-05-13,1.6,Billable
9,6,1,2024-05-14,2.2,Billable
10,6,1,2024-05-15,2.3,Billable
11,6,1,2024-05-17,1.9,Non-billable
12,6,1,2024-05-20,2.2,Billable
13,6,1,2024-05-21,2.3,Non-billable
14,6,1,2024-05-22,2.2,Billable
15,6,1,2024-05-23,1.9,Billable
16,6,1,2024-05-27,1.9,Billable
17,6,1,2024-05-28,2.2,Billable
18,6,1,2024-05-29,2.2,Billable
19,6,1,2024-05-30,2.2,Billable
20,6,1,2024-05-31,1.9,Billable
21,6,1,2024-06-03,1.8,Billable
22,6,1,2024-06-04,1.8,Billable
23,6,1,2024-06-05,1.7,Billable
24,6,1,2024-06-07,1.5,Billable
25,6,1,2024-06-10,1.9,Non-billable
26,6,1,2024-06-13,1.6,Billable
27,6,1,2024-06-14,1.8,Billable
28,6,1,2024-06-17,2.0,Billable
29,6,1,2024-06-18,1.8,Billable
30,6,1,2024-06-19,2.0,Non-billable
31,6,1,2024-06-20,1.5,Billable
32,6,1,2024-06-24,1.8,Billable
33,6,1,2024-06-25,1.8,Billable
34,6,1,2024-06-26,1.8,Billable
35,6,1,2024-06-27,1.8,Billable
36,6,1,2024-06-28,1.9,Non-billable
37,6,1,2024-07-01,1.8,Billable
38,6,1,2024-07-02,2.0,Billable
39,6,1,2024-07-03,1.7,Billable
40,6,1,2024-07-04,1.9,Billable
41,6,1,2024-07-08,1.7,Billable
42,6,1,2024-07-10,1.6,Billable
43,6,1,2024-07-11,1.6,Billable
44,6,1,2024-07-12,1.7,Billable
45,6,1,2024-07-15,2.0,Billable
46,6,1,2024-07-17,2.0,Billable
47,6,1,2024-07-18,1.9,Billable
48,6,1,2024-07-19,1.8,Billable
49,6,1,2024-07-22,1.8,Billable
50,6,1,2024-07-24,1.9,Non-billable
51,6,1,2024-07-29,1.6,Billable
52,6,1,2024-07-30,1.8,Billable
53,6,1,2024-07-31,2.0,Billable
54,6,1,2024-08-01,1.6,Billable
55,6,1,2024-08-02,2.2,Non-billable
